mp_id,first_name,last_name,title,cand_for,birth,natio,place_resid,region_resid
957,Eduard,Adamčík,Ing. ,#SIEŤ,1963-01-07,slovenská,Košice,Košický
872,Ladislav,Andreánsky,MUDr. ,SMER – sociálna demokracia,1963-10-31,slovenská,Liptovský Hrádok,Žilinský kraj
229,Eva,Antošová,Ing. ,Slovenská národná strana,1964-12-19,slovenská,Nitra,Nitriansky
875,Michal,Bagačka,Mgr. ,SMER – sociálna demokracia,1963-05-15,slovenská,Hnúšťa,Banskobystrický kraj
938,Radovan,Baláž,Ing. ,Slovenská národná strana,1982-05-01,slovenská,Banská Bystrica,Banskobystrický
871,Vladimír,Baláž,"MUDr., PhD.",SMER – sociálna demokracia,1958-08-14,slovenská,Banská Bystrica,Banskobystrický kraj
967,Alojz,Baránik,JUDr. ,Sloboda a Solidarita,1954-06-13,slovenská,Bratislava,Bratislavský
232,Tibor,Bastrnák,MUDr. ,MOST-HÍD,1964-11-17,maďarská,Komárno,Nitriansky
233,Jaroslav,Baška,Ing. ,SMER – sociálna demokracia,1975-04-05,slovenská,Dohňany,Trenčiansky
758,Miroslav,Beblavý,"doc. Ing., PhD.",#SIEŤ,1977-01-06,slovenská,Bratislava,Bratislavský
919,Martin,Beluský,"Ing., PhD.",Kotleba - Ľudová strana Naše Slovensko,1987-04-17,slovenská,Piešťany,Trnavský
936,Tibor,Bernaťák,JUDr. ,Slovenská národná strana,1974-05-11,slovenská,Bratislava,Bratislavský
950,Ondrej,Binder, ,Kotleba - Ľudová strana Naše Slovensko,1970-04-11,slovenská,Svätý Anton,Banskobystrický
976,Jana,BittóCigániková,"Mgr., MBA",Sloboda a Solidarita,1983-09-15,slovenská,Bratislava,Bratislavský
885,Ľuboš,Blaha,"Mgr. PhDr., PhD.",SMER – sociálna demokracia,1979-12-07,slovenská,Bratislava,Bratislavský
777,Natália,Blahová,Mgr. ,Sloboda a Solidarita,1974-02-19,slovenská,Zavar,Trnavský
238,Juraj,Blanár,Ing. ,SMER – sociálna demokracia,1966-05-19,slovenská,Žilina,Žilinský
778,Dušan,Bublavý,Mgr. ,SMER – sociálna demokracia,1964-04-04,slovenská,Častkovce,Trenčiansky
242,Jozef,Buček,Mgr. ,SMER – sociálna demokracia,1960-05-06,slovenská,Košice,Košický
22,Ján,Budaj, ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1952-02-10,slovenská,Bratislava,Bratislavský
23,Béla,Bugár,Ing. ,MOST-HÍD,1958-07-07,maďarská,Šamorín,Trnavský
243,Jozef,Burian,Ing. ,SMER – sociálna demokracia,1961-09-21,slovenská,Košice,Košický
960,Katarína,Cséfalvayová,"Ing., PhD.",#SIEŤ,1985-04-19,maďarská,Dunajská Streda,Trnavský
882,Gabriel,Csicsai,"MVDr., PhD.",MOST-HÍD,1968-12-21,maďarská,Dunajská Streda,Trnavský kraj
244,Dušan,Čaplovič,"doc. PhDr., DrSc.",SMER – sociálna demokracia,1946-09-18,slovenská,Bratislava,Bratislavský
246,Miroslav,Číž,JUDr. ,SMER – sociálna demokracia,1954-02-11,slovenská,Štiavnické Bane ,Banskobystrický
